"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","geom_multipoint","wind_turbine_oem","wind_turbine_model","wind_turbine_type","wind_turbine_rating_mw","wind_turbine_hub_height_m","wind_turbine_qty"
Acacia Offshore Wind Farm,Wind Turbine - Offshore,Wind - Wind,3100.0,Development,,Australia,Victoria,,,,,,,,,,{test},,,,,
Agnew Hybrid Renewable Microgrid - Wind Farm,Wind Turbine - Onshore,Wind - Wind,18.0,Operational,Approved,Australia,Western Australia,,,POINT (120.5168989 -27.9843576),-27.9843576,120.5168989,,https://edlenergy.com/project/agnew/,,"MULTIPOINT ((120.5227932 -27.9917079), (120.5196863 -27.9881243), (120.516586 -27.9845021), (120.5135069 -27.9809203), (120.5110047 -27.9770072))",{Goldwind},{GW140/3000},{},{3.0},{110.0},{5}
Albany Wind Farm,Wind Turbine - Onshore,Wind - Wind,21.6,Operational,,Australia,Western Australia,,,POINT (117.78542061369185 -35.05918192085409),,,,https://www.brightenergyinvestments.com.au/albany-grasmere-wind-farm,Albany WInd Farm Stage 1,"MULTIPOINT ((117.7807653 -35.0561657), (117.7845955 -35.0582383), (117.7776432 -35.0562447), (117.7821708 -35.0578343), (117.7997446 -35.0648599), (117.7870739 -35.058774), (117.7793705 -35.0539261), (117.7910113 -35.0592307), (117.7974272 -35.0633582), (117.7948201 -35.0636919), (117.7911079 -35.0614613), (117.7750643 -35.0540696))",{Enercon},"{""E66 1.8MW""}",{},{1.8},{65.0},{12}
Alberton Wind Farm,Wind Turbine - Onshore,Wind - Wind,122.4,Abandoned,,Australia,Victoria,,,POINT (146.6319 -38.6271),,,,,Source: Gem wiki https://www.gem.wiki/Alberton_wind_farm,,,,,,,
Aquila Wind Farm,Wind Turbine - Onshore,Wind - Wind,340.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
Ararat Wind Farm,Wind Turbine - Onshore,Wind - Wind,240.0,Operational,,Australia,Victoria,,,POINT (143.07943056 -37.23851814),-37.23851814,143.0794306,,https://www.ararat-windfarm.com/,,"MULTIPOINT ((143.0593916 -37.2298062), (143.0367082 -37.2206877), (143.047429 -37.2283977), (143.0498966 -37.2254868), (143.1142455 -37.2560665), (143.1105709 -37.2536114), (143.1028676 -37.2611004), (143.1049168 -37.2588717), (143.1076097 -37.2556438), (143.1022399 -37.2508039), (143.0937991 -37.2358508), (143.0961379 -37.2380781), (143.098737 -37.2407259), (143.0858986 -37.243253), (143.0862862 -37.239844), (143.0923775 -37.2441017), (143.1003034 -37.2472917), (143.0954862 -37.2452932), (143.0209301 -37.2523155), (143.0393422 -37.2642875), (143.0280045 -37.2672631), (143.0256548 -37.2631454), (143.0369979 -37.2596231), (143.0325964 -37.2579409), (143.0282271 -37.2582419), (143.0249548 -37.2577744), (143.0195408 -37.2471657), (143.0219159 -37.2438242), (143.0254886 -37.2431238), (143.0222833 -37.2388169), (143.020615 -37.2346368), (143.0175573 -37.2323529), (143.0268538 -37.2289317), (143.0243754 -37.2251366), (143.0273688 -37.2202327), (143.0307081 -37.2248482), (143.0559826 -37.2327416), (143.0525628 -37.2394639), (143.0511345 -37.2366719), (143.0478448 -37.2351675), (143.0445886 -37.2349668), (143.0397016 -37.2335595), (143.0365714 -37.2325195), (143.0313572 -37.2328761), (143.0322504 -37.2377685), (143.0338597 -37.241358), (143.0370998 -37.2465529), (143.0556312 -37.2525268), (143.0532226 -37.2470088), (143.0516025 -37.2441284), (143.0547367 -37.2416815), (143.0582289 -37.2421896), (143.0616823 -37.2440612), (143.0807032 -37.2507719), (143.0762722 -37.2486336), (143.0732305 -37.2474945), (143.0664687 -37.2445715), (143.0702278 -37.2445694), (143.0745207 -37.2341852), (143.0702519 -37.2377001), (143.0784917 -37.2431751), (142.9976821 -37.175962), (143.000949 -37.1760133), (143.0045593 -37.1785479), (143.0092102 -37.1812534), (143.0269182 -37.1857709), (143.0069894 -37.193194), (143.0112326 -37.1910359), (143.0148321 -37.1896064), (143.0178604 -37.1884269), (143.0305928 -37.1885359), (143.0318052 -37.1928564), (143.1214392 -37.2626224), (143.1186604 -37.2615423), (143.11744 -37.2572386))",{GE},"{""GE 3.2-103""}",,{3.2},{85.0},{75}
Badgingarra Wind Farm,Wind Turbine - Onshore,Wind - Wind,133.2,Operational,,Australia,Western Australia,,,POINT (115.3285985 -30.4038803),,,,https://www.apa.com.au/our-services/other-energy-services/wind-and-solar-farms/badgingarra-wind-farm/,,"MULTIPOINT ((115.318687 -30.4382831), (115.3071706 -30.4330264), (115.3124202 -30.4281789), (115.3171893 -30.4232653), (115.3230546 -30.4174923), (115.3315677 -30.4147436), (115.3368935 -30.4117565), (115.3369179 -30.4258079), (115.3439244 -30.40816), (115.3318962 -30.4048812), (115.3195883 -30.4059941), (115.3122704 -30.39727), (115.3169538 -30.3934688), (115.3255401 -30.3960918), (115.3179295 -30.3811102), (115.3146934 -30.3752039), (115.3082212 -30.3745585), (115.3002692 -30.3777853), (115.2965452 -30.3813908), (115.2883167 -30.3752179), (115.2787059 -30.3711773), (115.2826575 -30.3811944), (115.2774212 -30.3846735), (115.2687699 -30.3809839), (115.2660867 -30.3749654), (115.2869832 -30.3675715), (115.286414 -30.3596157), (115.2997162 -30.3606821), (115.2673714 -30.3598402), (115.3280119 -30.3738851), (115.3182548 -30.3647793), (115.3119452 -30.3675855), (115.3295243 -30.3804929), (115.3800499 -30.4395507), (115.3803101 -30.4481449), (115.3020742 -30.3870582), (115.3911102 -30.4403207))",{Siemens},{SWT-3.6-130},{},{3.6},{85.0},{37}
Bald Hills Wind Farm,Wind Turbine - Onshore,Wind - Wind,106.6,Operational,,Australia,Victoria,,,POINT (145.9277 -38.7908),-38.7908,145.9277,,https://baldhillswindfarm.com.au/,,"MULTIPOINT ((145.9713715 -38.7501874), (145.9196907 -38.8034793), (145.9094446 -38.8062635), (145.9146803 -38.8043907), (145.9080177 -38.801364), (145.9076637 -38.8039893), (145.9067624 -38.7987468), (145.9056896 -38.7963889), (145.9065586 -38.7905688), (145.909037 -38.7927347), (145.910893 -38.7950426), (145.9123092 -38.7974759), (145.9125667 -38.8004693), (145.9163969 -38.8013222), (145.9216326 -38.7998171), (145.9252911 -38.8013472), (145.9304195 -38.8001683), (145.9254628 -38.796832), (145.9365457 -38.7808488), (145.9409499 -38.7837781), (145.9362238 -38.7860717), (145.934019 -38.7841168), (145.930221 -38.7879806), (145.9301459 -38.7834269), (145.9761144 -38.744939), (145.9692721 -38.7481658), (145.9528516 -38.7673969), (145.94775 -38.767033), (145.954536 -38.7388219), (145.957465 -38.7419433), (145.9634195 -38.7399433), (145.9593157 -38.7389516), (145.9605013 -38.7432885), (145.9662734 -38.7462256), (145.9627168 -38.745188), (145.9657316 -38.7495454), (145.9609411 -38.7497964), (145.9603081 -38.7526705), (145.9597717 -38.7578474), (145.9584682 -38.7605873), (145.9561239 -38.7633083), (145.9490643 -38.7639733), (145.9495364 -38.7612126), (145.9476857 -38.7537728), (145.9498153 -38.7565506), (145.9543697 -38.7540322), (145.9548418 -38.7515012), (145.9547238 -38.7488049), (145.9474979 -38.7493153), (145.9441881 -38.7413763), (145.9431152 -38.7455415), (145.9484528 -38.744529))",{Senvion},"{""MM92 ""}",,{2.05},{85.0},{52}
Baldon Wind Farm,Wind Turbine - Onshore,Wind - Wind,300.0,Development,,Australia,New South Wales,,,POINT (144.0856261 -34.8152105),,,,https://baldonwindfarm.com/,,,,,,,,
Baldon Wind Farm Stage 2,Wind Turbine - Onshore,Wind - Wind,1365.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
